tips,ll
"Not good if you're claustrophobic, there's a hall of mirrors and it's a challenge to get out!","51.3489391171,-0.315871391559"
"Nowhere near as good as Vampire, but entertaining all the same.","51.3494683845,-0.317546919553"
Kinda a wilder ride than it looks,"51.3481461079,-0.316674659548"
"There's only two teacup style pods, that you can manually spin, so you have to be quick to grab one!","51.348253,-0.317187"
There's two rules: Don't stand up & Don't throw up!,"51.3475712437,-0.316866369258"
This ride has been relocated to behind Rameses Revenge to make space for the new show arena,"51.3491638004,-0.318412114153"
The (very slow moving) queue for this ride is right next to a massive motor for Dragon's Fury and it makes a hell of a noise. You'll have a headache by the time it's your turn to ride! Be warned!,"51.3482000552,-0.317708367527"
4 seats on either end don't get you wet.,"51.3488084126,-0.318589086709"
"Adults, only ride if you have to and leave the seats for the kids, it's really not very exciting for anyone over four years old and you're holding up the queue!","51.348427,-0.318527"
Good place for grown ups to have a break/coffee as only 1 entrance 1 exit next to each other so leave the kids to it and relax,"51.347935,-0.318164"
mica ho capito che devo fare qua...,"51.3479250669,-0.318249464035"
"Grown-ups, fill the hoppers on the ground floor to supply the balls up to the first and second floors via the lift. If you've a large shopping bag it'll come in very handy for storing all your ammo!","51.3478675307,-0.320688410104"
"The bumpers are massive, so even a massive head on collision isn't going to hurt.","51.3473760518,-0.320575906075"
I like to move it!,"51.3485151305,-0.318399792818"
"Be prepared for wet seats, and drips from the roof ceiling. This can be a wet ride! Also, sit near the back if you can and on the left.","51.3497380867,-0.319305693586"
"Do this one, it helps to visit the most touristic places, and to make it quickly :)","51.5080106041,-0.130052100633"
Propaganda diz que o ticket de 30 libras ( comprei a 4.40 no Brasil ) para city tour vale  48 hs. Na hora da compra informam que só vale 24 hs . Com quem reclamar? Ninguém !,"51.4940360631,-0.147145986557"
They know nothing about foursquare. I showed the Special and they didn't know what to do with it ! 👎,"51.4930557748,-0.146354553354"
"If you're coming to the Tower of London, these tours are every hour.  Highly recommended -- the beefeaters are hilarious and so knowledgeable. They are so good with kids, too. Ask for Jason Woodcock!","51.5083900532,-0.0763245765669"
For more bang for your buck pick up a 2-4-1 travel booklet at a train station and enjoy the tour with a friend. Just keep in mind the British weather when riding an open top bus...,"51.5070037214,-0.142473245083"
Just chill on the canal from Camden Market to Little Venice. That's my favourite one way.,"51.5211965881,-0.183387167468"
Run away from here. They're the worst.,"51.4947450351,-0.188562991976"
Great place if you've got nowhere else to swim in London,"51.5059056062,0.0171546599997"
Go for Monday Night Kayaking!,"51.4940571388,-0.024161243822"
Large and beautiful park. Worth visiting at the peak of each season to admire nature at its finest. Also fine is the café and cake shop. Toilets acceptable; do some water fowl watch at the lakes.,"51.5685176124,0.0692895626374"
"It can't be denied: they've done a great job turning the Olympic Park into a new public park for London. Go and explore, it's especially good in the summer with water fountains & wild flowers galore.","51.5402956882,-0.0129375568671"
The swimming pool is great but th area where you get shower and dress is so poor. Need a refurbished asap.,"51.476668171,0.177915287917"
"Great park for running, there are water fountains dotted around the paths and lots of other friendly joggers.","51.5368063414,-0.0371217727661"
"Excellent park with swings, water park, boating lake, coffee shop, and wide open spaces for a game of rounders. Car park £2.","51.4052508436,0.176701135785"
"Located less than 20 miles north of Olympic Park, this venue will host the Canoe Slalom competition.","51.6889357181,-0.0173356021431"
Be prepared to leave the pool early thanks to people mistaking it for a toilet.,"51.398788997,-0.0971157718866"
"All'interno del parco c'è un piccolo zoo ad ingresso gratuito con animali da fattoria, lama e alpaca.","51.4916677107,-0.00947049910378"
"Loads of different birds reside here from eagles to owls, falcons to vultures. And it's home of CPFC mascot Kayla the eagle.","51.3696860352,0.19299626497"
"The Snowdon Aviary at London Zoo was co-designed by the Earl of Snowdon, husband of HRH The Princess Margaret. The swans, officially owned by the Crown, fly  freely on the canal next door!","51.5356451442,-0.155739784241"
"The park on this beautiful walled garden site is the best for miles around. There's an enormous sandpit and all sorts of toddler climbing frames, plus an adventure playground for the older kids.","51.5239793065,-0.119736193251"
"From giant rabbits to miniature Shetland ponies, monkeys to the mouse house, this zoo has something for everyone.","51.4814096224,-0.156769752502"
No zoo here at all,"51.5156203416,-0.0138715132211"
"The zoo is free and open whenever the park is.  Opens at 7:30am, closing times vary.  See City of London's Golders Hill Park page for details.","51.5668522693,-0.188938440461"
"Food is terrible, bring your own.","51.7441161545,-0.0623778221349"
Totally amazing and most enjoyable entertainment city eveeeer,"51.3484254528,-0.317157420891"
Nice Beaver.,"51.2893539522,0.0177551054441"
"There's a few areas/attractions within the Zoo; Wanyama Village & Reserve, Zufari: Ride Into Africa!, Amazu Treetop Adventure, Creepy Caves, Sealion Bay, Trail of the Kings, Penguin Cove and Sea-Life.","51.349281273,-0.316018458616"
Don't queue up to get into ZSL - take a canal trip from Camden. This takes you right into the Zoo  .. No stress queueing and a £1 cheaper - first boat leaves at 10am,"51.5354809342,-0.152476483754"
Little paridise,"51.5351405171,-0.152281980966"
Feeding time 15:00,"51.5341735659,-0.152906366808"
Amazing opportunity to see these impressive animals up close!,"51.5354275257,-0.154491662589"
Book - HP1 - Harry first learns he can talk to snakes here,"51.5351779875,-0.15563249588"
Don't pet these creatures. They bite 🙊,"51.5334199601,-0.151429574736"
"Daily show when the giraffes get fed an ""afternoon tea"" snack of leaves that's worth catching.","51.5355847042,-0.157752316165"
The Tim Hunkin-designed mechanical clock outside the birdhouse building does its thing every hour on the hour.,"51.5335594563,-0.151974343573"
Watch out for tiger talks,"51.5340487741,-0.152968918924"
"20 February: On wintry days in Central London, it is easy to forget that there is a rainforest only a short distance away, with monkeys, lemurs & pygmy marmosets roaming right in the middle of London.","51.536436306,-0.155377593914"
See the shows...one at 11:30 and another at 2:30,"51.3494358816,-0.315885428448"
The cake is a lie! I mean free nan...,"51.5245236192,-0.0767478675563"
Egg nan roll must try for breakfast ❤️,"51.51243,-0.12690805"
Garlic nan on everything!!!,"51.5114845689,-0.0706930862165"
Lamb chops starter was very tasty. Garlic nan was fluffy with a crisp base.,"51.552011,0.005676"
Food is delicious. Good service and price. Don’t forget to ask for the almond Nan.,"51.503998783,-0.0952144172733"
"Oh, the fruit yoghurt for breakfast was so delicious. The egg nan as well...","51.5360803511,-0.125733423886"
"Lovely food, best nan I've had in ages an nice spicy madras...yum","51.4567410239,0.0941851943743"
"Nice chiken tikka an nans, cosy place, fast and plesant staff","51.5150656336,-0.126808932884"
Best Shish Kebabs and Nans in London,"51.5171644948,-0.0634994968617"
"Raj Kachori, Green prawns are the best orders from the starters. Murgh Hara Payz, Chicken biryani, Travncore Prawn, and the chili nan Very very good food I highly recommend the place","51.5101570037,-0.137730520287"
"It's sooooo good we came back again! MUST get the chicken ruby, cheese nan, sali boti (lamb curry) and chai tea.","51.5131676214,-0.139654280124"
Love the food and nan bread was yummy,"51.5085452783,-0.141423670232"
Little Nan's Club has taken up residence here on weekends.,"51.4753122138,-0.0356117943032"
"There are two restaurants one is modern which is up and one is classic which is down , go down try chili brown , chicken butter and nan bread 🍞","51.514588,-0.155679"
Best butter chicken and nan  bread,"51.5146529297,-0.157771742894"
mixed grill with nan and butter chicken - everything was delicious,"51.5157355778,-0.189014327835"
"Jeera curry was good, a bit sweet. Pilau rice lacked flavour, samosas like empty spring rolls, nan ok. Only entered because I was offered a £15 4 dish dinner with a drink, I wouldn't pay full prices.","51.5197196876,-0.0718265771513"
Great garlic nan!,"51.5016473903,-0.0257635931166"
Big menu with good variation. Delicious cheap veggie food. BYOB. No nan bread.,"51.5900970877,-0.104205213988"
Best Baryani and Nan ever in UK,"51.498929774,-0.166110429019"
"""You never know what to expect at the original east London gallery. Since 1901, it has shown modern artists from Barbara Hepworth to Nan Goldin, Jackson Pollock and David Hockney...""","51.5160504102,-0.0702408819349"
"This is the best curry cafe in Brick Lane.  £4.60 for curry, rice or nan bread and a soft drink. Great lunch stop too","51.5184391261,-0.0714234534091"
Peshwari nan is soooo good!,"51.5144827517,-0.0629117079795"
Excellent service and atmosphere. The neck and nan were the standout,"51.5144455494,-0.126370488901"
"If the rola wola stand is there, go go go!! Nan bread meats pulled pork, what more could you ask for","51.535233,-0.12633406"
"Chicken tandoori off the bone, mutton Baryani, pilau rice, Haleem, ginger chicken, nan, aloo parata all excellent","51.5016611154,-0.156999119718"
"Enjoy the £11.90 meal deal. Any curry (not King Prawn) inc rice, nan etc. A bargain","51.5107577572,-0.134367538867"
Best Iraqi nan bread,"51.5150764942,-0.162527601521"
Try the chicken curry and veg lunchbox - complete with nan and rice,"51.4960632989,-0.208231527717"
Friendliest nandos staff ever... And a couple of cute ones too.. Always get a table and quick service.. Decent nans,"51.5215724385,-0.143358164659"
